time,seconds_elapsed,z,y,x
1782814942777054700,0.0620546875,-0.03512684296071529,-0.09660510175228118,-0.07039587087109685
1782814942797137700,0.0821376953125,-1.0004419474244117,-0.22449966025948523,-0.12818769623488188
1782814942817220600,0.102220703125,-1.2289689635038374,-0.03444382913261652,-0.6467012824848294
1782814942837303800,0.1223037109375,0.11363456248641013,0.15094839409738778,-0.4575774715110659
1782814942857386800,0.14238671875,1.8821242444336412,-0.389362890201807,0.4907219084829092
1782814942877469700,0.1624697265625,1.8513544276386498,-0.6831278098672628,0.5998407471105456
1782814942897552600,0.182552734375,0.5949784017711878,0.37067791734561323,0.24442126223854718
1782814942917635800,0.2026357421875,0.73923255892694,0.34693376140370963,-0.4657070750180632
1782814942937718800,0.22271875,0.254642285066843,-0.5822456153176725,-0.7313627023346722
1782814942957801000,0.242801025390625,0.9000783699214457,0.0717376408688724,-2.0513364633657036
1782814942977884000,0.2628837890625,0.047668344625830646,0.09867116743661462,-1.7283616696983575
1782814942997966800,0.282966796875,-0.700498046863079,-0.04656513262428343,-0.6266949978969991
1782814943018049800,0.3030498046875,-0.19840894119143485,0.004987433023750782,-0.25770970981344576
1782814943038132700,0.3231328125,-0.24291677595973013,0.39354792080149054,-0.7732070169821381
1782814943058215700,0.343215576171875,-0.19529694665074349,0.5635498288065195,-1.234412031340599
1782814943078298600,0.363298583984375,0.6172557000309229,-0.022736001812666655,-0.34984153860919176
1782814943098381800,0.3833818359375,-0.4712473926842212,-0.3720793085761368,0.2542412299852818
1782814943118464800,0.40346484375,-1.2995090651512144,-0.14971812165006995,0.3571895632844418
1782814943138547700,0.423547607421875,-1.432089735648036,0.20600845640972257,0.34798641226179894
1782814943158629600,0.443629638671875,-0.927426395574212,0.3281457665644586,0.38606129137314854
1782814943178712600,0.463712646484375,-0.47087622128427026,0.10362973969206213,0.29405191991329194
1782814943198795800,0.483795654296875,-0.34017712675035,0.13087569320984185,0.30079978673830626
1782814943218878700,0.503878662109375,-0.34868951902985573,0.1335934277359396,0.4783104629382491
1782814943238961700,0.523961669921875,-0.3294885594755411,0.32981625705994666,0.5209940779540687
1782814943259044600,0.544044677734375,-0.15487258180379868,0.5237954721756279,0.7305079121362418
1782814943279127600,0.56412744140625,0.1471668297320604,0.4887329266227782,0.925027079347521
1782814943299210800,0.584210693359375,0.6233890882194042,0.25987653245851394,0.9288614698786288
1782814943319293700,0.604293701171875,0.5239934789657592,0.003663490943610668,0.8086961904492229
1782814943339376600,0.624376708984375,0.23212416378855705,0.005880144079774618,0.7115029135454446
1782814943359458600,0.64445849609375,-0.07818097178936004,0.06080635087937116,0.7101753182034939
