time,seconds_elapsed,z,y,x
1782816075637453600,0.06645361328125,0.4097534716129303,0.8348402380943298,-1.1359126567840576
1782816075657535500,0.086535400390625,0.6768383979797363,1.2348170280456543,-1.3662346601486206
1782816075677617700,0.10661767578125,0.8484091758728027,1.911286473274231,-1.4674997329711914
1782816075697700900,0.126700927734375,1.1417691707611084,2.4042861461639404,-1.3230440616607666
1782816075717782800,0.14678271484375,1.1648073196411133,1.2106887102127075,-1.3115692138671875
1782816075737864700,0.16686474609375,1.089208722114563,0.05323891341686249,-1.1780037879943848
1782816075757947600,0.18694775390625,0.927579402923584,-0.5035769939422607,-0.8436136841773987
1782816075778029600,0.207029541015625,0.5559775233268738,-1.4596482515335083,-0.3527511656284332
1782816075798111700,0.22711181640625,0.09011723101139069,-2.4523818492889404,0.09241293370723724
1782816075818194700,0.247194580078125,-0.5382633805274963,-1.72512686252594,0.3452779948711395
1782816075838276600,0.267276611328125,-1.1466281414031982,-0.25857993960380554,0.7908440232276917
1782816075858358500,0.287358642578125,-1.3309097290039062,-0.02544991485774517,1.084600567817688
1782816075878441500,0.30744140625,-1.0510103702545166,-0.391996830701828,0.6280712485313416
1782816075898523600,0.327523681640625,-0.4874129593372345,-0.14974577724933624,-0.3440597355365753
1782816075918605600,0.34760546875,0.035355329513549805,0.6918632984161377,-0.9989259243011475
1782816075938688800,0.367688720703125,0.3748787045478821,0.9198834300041199,-1.2279753684997559
1782816075958770700,0.387770751953125,0.5067458748817444,0.6742885708808899,-1.078944444656372
1782816075978852900,0.407852783203125,0.38553234934806824,0.351640522480011,-0.7116568684577942
1782816075998935800,0.427935791015625,0.11701968312263489,0.049446411430835724,-0.265669047832489
1782816076019017700,0.448017822265625,-0.10558449476957321,-0.2368520200252533,0.2357572317123413
1782816076039099600,0.468099609375,-0.19049511849880219,-0.4599500894546509,0.6868317127227783
1782816076059182600,0.4881826171875,-0.15085594356060028,-0.6697382926940918,0.9222253561019897
1782816076079264000,0.508263916015625,-0.18098244071006775,-0.9850720167160034,1.0218650102615356
1782816076099346000,0.528345947265625,-0.2994689643383026,-1.4523767232894897,1.0716361999511719
1782816076119428900,0.548428955078125,-0.5215051770210266,-1.5501124858856201,0.882924497127533
1782816076139510800,0.5685107421875,-0.591798722743988,-1.2612346410751343,0.9370420575141907
1782816076159593700,0.58859375,-0.5464802980422974,-1.0199071168899536,0.7763497829437256
1782816076179676000,0.608676025390625,-0.3259294331073761,-0.6470432877540588,0.35100308060646057
1782816076199757800,0.6287578125,-0.10631326586008072,-0.0049350680783391,-0.04957456886768341
1782816076219841000,0.648841064453125,-0.1177758201956749,0.06669461727142334,-0.27809327840805054
1782816076239923000,0.6689228515625,-0.21692517399787903,-0.23912887275218964,-0.2891266644001007
1782816076260005000,0.689005126953125,-0.4198049008846283,-0.6007990837097168,-0.16799354553222656
1782816076280088000,0.709088134765625,-0.6078948974609375,-0.8015384078025818,0.018821435049176216
1782816076300170000,0.729169921875,-0.63810795545578,-0.6790286302566528,0.2163325548171997
1782816076320252000,0.749251953125,-0.4570380747318268,-0.6452447175979614,0.28324344754219055
1782816076340334800,0.7693349609375,-0.21347716450691223,-0.7268423438072205,0.24876870214939117
1782816076360416800,0.789416748046875,-0.03405491262674332,-0.7042686343193054,0.2835657596588135
1782816076380499000,0.8094990234375,0.07824577391147614,-0.7292966246604919,0.38268816471099854
1782816076400582000,0.829581787109375,0.13544407486915588,-0.7714061141014099,0.5435939431190491
1782816076420663800,0.849663818359375,0.09270507842302322,-0.7758347392082214,0.5109527707099915
1782816076440745700,0.869745849609375,-0.001334032160229981,-0.6439708471298218,0.1662612110376358
1782816076460828700,0.88982861328125,-0.04426145181059837,-0.1408207267522812,-0.24168610572814941
1782816076480910800,0.909910888671875,-0.09689590334892273,0.4320547878742218,-0.48372137546539307
1782816076500992800,0.92999267578125,-0.11419756710529327,0.7452266216278076,-0.5850777626037598
