time,seconds_elapsed,z,y,x
1782814597337861600,0.066861572265625,-0.04130348576903343,0.1424327869474888,-0.04125582896871492
1782814597357943600,0.086943603515625,0.10699673190712929,0.12704451754912732,0.05809268974019214
1782814597378025500,0.107025390625,0.09566402150988579,0.06202274093180894,-0.0176664069307968
1782814597398106400,0.1271064453125,0.017326982375979422,0.079715926271677,0.009943667191639543
1782814597418188300,0.147188232421875,-0.11223521708250045,0.11507000211700796,0.016853181718615814
1782814597438270200,0.167270263671875,-0.08874152877032757,0.1303657709263265,-0.009729028927115723
1782814597458352400,0.187352294921875,-0.034816461837291715,0.03720335697382688,-0.07145902485689148
1782814597478433300,0.207433349609375,-0.059063014343380925,-0.04345204210504889,-0.13396982330027968
1782814597498515500,0.227515380859375,-0.03194236770570278,-0.10192439707890152,-0.10910500189852901
1782814597518597400,0.247597412109375,-0.170495098349452,-0.09890957930237054,-0.08119475751942955
1782814597538679300,0.26767919921875,-0.30342180580496786,-0.024408611200004815,-0.14130999346263706
1782814597558760400,0.287760498046875,-0.16513327905535696,-0.04359978001266718,-0.10976405032915063
1782814597578842400,0.30784228515625,0.09326455915272236,-0.059238809301704165,-0.09435407142248003
1782814597598924300,0.32792431640625,0.15287819311618803,-0.1227041502572596,-0.01953751173203345
1782814597619006500,0.34800634765625,0.013687749090790747,-0.014924743539839982,-0.006180364568787626
1782814597639087400,0.36808740234375,-0.053497196909785265,0.04105316426977515,-0.0478319102902431
1782814597659169800,0.388169677734375,0.07712123360335826,0.03854205823168158,-0.0315136231829063
1782814597679251700,0.408251708984375,0.12679448831081389,-0.006397738213092088,0.007552255710191093
1782814597699333600,0.428333740234375,0.04854863459169864,-0.0108871585868299,-0.017699489499779883
1782814597719414800,0.448414794921875,0.017668927681446074,0.018447364708036183,-0.05039662794540636
1782814597739496700,0.46849658203125,0.05892272908985614,-0.03550882801562547,-0.03987125187567435
1782814597759578600,0.48857861328125,-0.015524901390075682,-0.049172757839411496,-0.022170967791450676
1782814597779660800,0.508660888671875,-0.05666121389865875,-0.0034247137516736983,-0.02665226650752593
1782814597799741700,0.52874169921875,-0.10135258854031562,0.003680442078411579,-0.012658896950108463
1782814597819823600,0.54882373046875,-0.05776829835772514,0.006482055495679378,-0.04368570016387384
1782814597839905800,0.56890576171875,0.0034679683715105056,-0.026411329324543476,0.044908953781938175
1782814597859987700,0.58898779296875,-0.03291793473958969,0.075489833009243,0.04915769270102027
1782814597880068600,0.609068603515625,-0.01910392892062664,0.003907090441137552,0.030529644513700622
1782814597900150500,0.629150634765625,-0.004562193349003791,0.03082315441742539,-0.005813509155172505
1782814597920232400,0.649232421875,-0.008214286115765572,0.012564298018813133,-0.013523360300826607
1782814597940314600,0.669314697265625,-0.030489830809831617,-0.006600567308813333,-0.04046595266608055
1782814597960395500,0.6893955078125,0.048258711734414095,-0.0034556934118270873,-0.020534349882812237
1782814597980477700,0.709477783203125,0.035628362742066384,-0.007867664635181426,-0.054739872180949896
1782814598000559600,0.7295595703125,-0.08935235414505005,-0.026349077743291854,-0.09847838481087237
1782814598020641500,0.7496416015625,-0.1189472819417715,-0.009614946693927049,-0.05411019140870776
1782814598040722700,0.76972265625,-0.057473114803433416,-0.07516352366432547,-0.0550720632773824
1782814598060804600,0.7898046875,-0.1255576399922371,-0.03435074402168393,-0.04636825834531337
1782814598080886500,0.809886474609375,-0.12159399705827235,-0.01982026049643755,-0.01414071588103543
